id,user_id,song_id,text,inserted_at,updated_at
c63d32e3-aac5-4e66-aa64-54ca6edec47d,9197e0d8-75ca-4090-88a6-1bf2617eb741,7b1c593e-d3bf-4b0d-87c5-a542a4cbfb18,No worries!  I take it as at least being on the right track... :),2016-04-08 11:22:30.936446,2016-04-08 11:22:30.936446
d72af68e-fb31-45ae-bfbc-bc1082fcf9ae,9197e0d8-75ca-4090-88a6-1bf2617eb741,26760b64-320e-4971-9308-04cca6120c19,Ditto on the stripped version,2016-04-12 13:45:43.903913,2016-04-12 13:45:43.903913
e0eb2abe-12b3-4593-b285-b8e47475b92f,9197e0d8-75ca-4090-88a6-1bf2617eb741,0cac5484-9bc6-43c2-acdf-3db0b0f847c1,"Nice late night groove, Danny.  I always like Walter Beasley's cover of Don't Know Why from years back.  Hadn't thought of him in a while.",2016-04-08 11:20:40.184236,2016-04-08 11:20:40.184236
6f2f55e0-d5d6-40b2-9604-af692db2e6fb,d0ec53d3-7f34-451f-9155-74f8ab59f937,4e43fe2e-55b9-45ee-982d-b93986cc6406,"<div>Discovered at WOTP, nice to dance on</div>",2016-08-29 17:59:16.300157,2016-08-29 17:59:16.300157
a2cf7a57-d994-470d-860a-2a93f21be1ae,d0ec53d3-7f34-451f-9155-74f8ab59f937,dcc007a2-a8fa-42f9-8d14-c0a02189dadd,(you can find it on deezer of spotify),2016-07-06 19:23:28.507539,2016-07-06 19:23:28.507539
33c78290-c1ad-49de-bc7e-2309a6c1e5d1,f4e287e9-e294-4b68-bce9-279f7c529b84,51d84199-994a-4887-8461-5e20c0389525,"I'm getting the message on Youtube ""This video is private""",2016-07-03 13:31:36.594864,2016-07-03 13:31:36.594864
b2edb537-1561-4468-9c5d-74911c28a0c3,f4e287e9-e294-4b68-bce9-279f7c529b84,7881a8e9-4b63-4113-925a-d11e76dc720e,"Played this at my April WCS/Blues/Neotango fusion event in the UK, pitched to 93 bpm. Went down well. ",2016-04-22 20:57:07.566974,2016-04-22 20:57:07.566974
62813ac0-4439-4377-a753-3eafefe10503,7793d29b-5f59-4ec1-bffa-5af22f5ed973,073b31bb-773a-4e13-b136-fdca4965c81f,"Two different songs Laurent. Different lyrics, same title. :-)",2016-07-16 19:30:11.328818,2016-07-16 19:30:11.328818
3159854d-a4b7-4dcc-a59d-f162f2070003,7793d29b-5f59-4ec1-bffa-5af22f5ed973,92427b1c-b2f8-4d51-97c3-40f778b1d8ad,Great song! Any idea where I can get a copy?,2016-07-07 14:59:23.0905,2016-07-07 14:59:23.0905
7997461d-0e63-4410-9012-9d6e8ed184b6,7793d29b-5f59-4ec1-bffa-5af22f5ed973,92427b1c-b2f8-4d51-97c3-40f778b1d8ad,"I'm not a iTunes fan, but I've gotten ahold of a MP3 version. Thanks for the help! :-)",2016-07-12 16:07:40.632548,2016-07-12 16:07:40.632548
