id,top_id,song_id,likes,inserted_at,updated_at,votes,bonus,points,position
755cb239-2bc8-42eb-82c3-8317de9f2ef1,443e2d36-961d-4417-af23-3f313bac875d,95976ce4-8bc0-4300-af7e-908a47e5dfd3,2,2016-07-03 12:57:44.788865,2016-08-18 03:54:22.060198,47,0,49,17
3969ac56-d58c-44cd-96c6-3923ba5a216c,443e2d36-961d-4417-af23-3f313bac875d,78f0e6f3-70b1-4eb5-b90a-18d8942a1fee,4,2016-07-03 12:57:44.814831,2016-08-18 03:54:22.086301,39,0,43,18
eb72e024-d92e-42ce-920d-6813ab8b9ceb,443e2d36-961d-4417-af23-3f313bac875d,7614beaf-ff3e-41a3-9518-c058eb06994c,6,2016-07-03 12:57:44.876672,2016-08-18 03:54:22.184459,37,0,43,19
9641151e-0e80-4dd0-b31e-c77519f03887,443e2d36-961d-4417-af23-3f313bac875d,30f68147-397b-4449-a7b5-1a1d54b787e6,0,2016-07-03 12:57:44.834221,2016-08-18 03:54:22.108376,42,0,42,20
c4118dfd-7f35-47a1-a4fe-b6ef1df9bdc3,443e2d36-961d-4417-af23-3f313bac875d,ba762dd4-2bdb-4389-9c47-df9ead7b9055,4,2016-07-03 12:57:44.731502,2016-08-18 03:54:21.940532,33,0,37,21
e1b4dd55-3280-4913-8f96-aae86859da57,443e2d36-961d-4417-af23-3f313bac875d,25baccca-0100-4309-80c1-445f09e6702f,2,2016-07-03 12:57:44.851549,2016-08-18 05:58:20.851608,21,14,37,22
ed856a76-1efc-486e-bad3-33d3aeb0a6f2,443e2d36-961d-4417-af23-3f313bac875d,fc99ed06-647c-4e49-b673-52c4a73391fa,-3,2016-07-03 12:57:44.753715,2016-08-18 03:54:22.009603,39,0,36,23
294758e0-056e-4197-aaa2-b733d6e66ea4,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,2e059835-8b2d-4669-88fc-a176eb42b873,5,2016-03-01 15:31:35.727192,2016-03-06 23:10:02.918696,163,8,197,24
1f381d37-7b53-4adb-83eb-4c17c889c575,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,aaec1390-1c8d-4456-ae46-59c51cc2801d,8,2016-03-01 15:31:35.73167,2016-03-06 23:10:07.531999,104,5,135,25
07e6d1d4-d3fc-417a-914b-b67afe44a49a,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,c3ed3827-7449-429e-a683-27dbb2767f74,10,2016-03-01 15:31:35.73593,2016-03-06 23:10:12.909911,97,5,132,26
78a54545-ca63-4bcf-a8b7-9f5ac6b92711,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,ad47ef07-e7fd-4059-8315-34cb80b82539,2,2016-03-01 15:31:35.740014,2016-03-06 23:10:21.930113,114,2,124,27
017cd198-e1f7-4eb7-9350-04b4936b0e73,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,7d468b1d-dcb7-4a11-a4df-1c34f4200237,8,2016-03-01 15:31:35.744056,2016-03-06 23:10:17.602524,89,2,111,28
138d3113-3069-4cc6-ae4e-45a60f8ada0a,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,f4deb580-9ec9-4105-a023-2d88167bab9b,8,2016-03-01 15:31:35.74868,2016-03-06 23:10:26.473377,77,5,108,29
6fa414e3-6473-45bd-b0c2-836793f20af0,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,c641a103-0000-4693-8e9d-90e7dc4ea6cf,6,2016-03-01 15:31:35.75277,2016-03-06 23:10:30.772283,89,2,107,30
50202269-d664-47c9-83b0-7c7dce5c097d,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,cb87ad3e-0c5e-41c0-bf80-22f49fd46504,6,2016-03-01 15:31:35.756732,2016-03-06 23:10:45.476036,55,7,88,31
8f6c1639-41a8-4001-bc75-c8aa9f16ba14,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,478770f4-798b-492d-ac55-6003251dece7,1,2016-03-01 15:31:35.76084,2016-03-06 23:10:35.291854,79,2,87,32
434f1e6e-34e0-4bf3-a4ce-f382cd9113e4,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,45576160-80ca-48ac-9f1e-9c5d23d7808d,9,2016-03-01 15:31:35.764944,2016-03-06 23:10:39.536661,44,6,80,33
b047d55b-24b7-4b89-a6c0-e6604c687702,4ce8a436-0ea5-4c4b-87f2-cb7012bedd9e,a7516ace-abe8-4955-8a23-841b164a2c72,9,2016-03-01 15:31:35.769374,2016-03-06 23:11:05.179815,41,4,71,34
