id,user_id,top_id,song_id,position,inserted_at,updated_at
b622cc24-22da-41d9-bfa3-eebb45c91ccb,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,7bfac765-1183-4170-9173-cd043fb4443b,7,2016-11-20 08:46:03.255082,2016-11-20 08:46:03.255082
c2e1b77f-f798-4083-a38f-f06cb1c394ef,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,b74662c8-fa93-43c1-9145-44a8af425e0c,8,2016-11-20 08:46:03.272184,2016-11-20 08:46:03.272184
f8007ee7-5198-4791-a213-dab59de1f0a3,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,da45c057-ea0e-4a48-aa03-a74e85a6ea22,9,2016-11-20 08:46:03.288958,2016-11-20 08:46:03.288958
28e02dca-65e6-4f4c-9738-e7aedcdc721b,14bab19c-fcdd-48a5-ac81-6355c284ba37,a498014a-225e-41c8-82ff-25814486f808,b8ae506e-1fd8-400b-b3a1-5e9edf507cad,10,2016-11-20 08:46:03.391901,2016-11-20 08:46:03.391901
b3aa1691-c38d-447f-90ef-db900bd3ac55,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,5136a90a-f251-4096-9fa4-4e8ed88ef149,1,2016-12-07 19:36:51.80243,2016-12-07 19:36:51.80243
aeb92e64-fbe5-4dde-a863-c284ef8f5db3,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,2d8d34c9-fa15-46d8-a0d6-88c39530758b,2,2016-12-07 19:36:51.809465,2016-12-07 19:36:51.809465
207fb1d7-56bf-43c9-9ad6-0c35bf813516,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,65038591-c12b-474f-b62e-76eb3e0b0ad5,3,2016-12-07 19:36:51.81404,2016-12-07 19:36:51.81404
50a7f10a-8ae7-4439-bc16-1e24bcbb72a4,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,5df1cb24-11be-422a-b507-c9a007b1d423,4,2016-12-07 19:36:51.819154,2016-12-07 19:36:51.819154
936f2512-a83b-48e6-9d8b-76582be90bcd,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,b114ea2e-903d-4ed0-aeba-f6e6a59a27a3,5,2016-12-07 19:36:51.82419,2016-12-07 19:36:51.82419
70f79962-758c-40e8-81d5-1c3fc6e7d78d,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,0d984988-4647-4ed4-aa00-b9e304a8ee14,6,2016-12-07 19:36:51.829159,2016-12-07 19:36:51.829159
083f5ba8-63dd-4daa-95ca-e4aac42a0ebd,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,06c9f816-e7d0-4795-94e9-37232df8134b,7,2016-12-07 19:36:51.834264,2016-12-07 19:36:51.834264
97701d96-155e-4945-8cfb-243ebdfe08bb,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,98215c91-951e-4ade-99e2-830a04378f7b,8,2016-12-07 19:36:51.83884,2016-12-07 19:36:51.83884
b407d4d1-a4e4-46be-9ded-d844bf2d78f2,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,383c14f5-738c-4309-89b6-65b9ff25e707,9,2016-12-07 19:36:51.84354,2016-12-07 19:36:51.84354
10d74bca-2573-4ed0-a7eb-da9897223767,f885b2c2-8f28-4ab1-996b-09f1e03c48e4,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,70f28e35-0920-4b60-91db-5f8181313acc,10,2016-12-07 19:36:51.848165,2016-12-07 19:36:51.848165
7cac9e18-2216-4a80-ab9e-197a904087ca,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,a2331a03-a344-452c-a0b3-9a4b854fa1b7,1,2017-02-01 23:43:19.360381,2017-02-01 23:43:19.360381
dc59b40e-f742-4e3f-94e7-8d1b470b06cf,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,5df1cb24-11be-422a-b507-c9a007b1d423,2,2017-02-01 23:43:19.378623,2017-02-01 23:43:19.378623
3b8fbdf4-ef57-4968-8d86-27871ae3f05e,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,dc9b94aa-24e5-496e-92bf-da2662c6d21e,3,2017-02-01 23:43:19.386729,2017-02-01 23:43:19.386729
a4d75c9f-db79-4b39-b34e-58cd7db294fe,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,5136a90a-f251-4096-9fa4-4e8ed88ef149,4,2017-02-01 23:43:19.396226,2017-02-01 23:43:19.396226
995deb1c-92a7-4eae-aaec-df37e59b52cf,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,2d8d34c9-fa15-46d8-a0d6-88c39530758b,5,2017-02-01 23:43:19.404212,2017-02-01 23:43:19.404212
ca6f13ff-5e7c-4459-826f-e1c5a6bb798d,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,7e864c6e-b703-41e7-a9fb-819dde4201b9,6,2017-02-01 23:43:19.411255,2017-02-01 23:43:19.411255
8a27764c-51bf-43bc-8ce9-f6afd254b4ba,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,bb84016d-6e57-4be7-892d-76b0dc3e90a9,7,2017-02-01 23:43:19.423665,2017-02-01 23:43:19.423665
f94d7c43-4a7c-4a80-9eba-d63eeb346b1e,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,d5bfb368-b96f-42ed-9130-fdf3ed64a980,8,2017-02-01 23:43:19.440813,2017-02-01 23:43:19.440813
9d686f0a-6d2a-4e4e-be69-74a004d65def,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,1e366e7d-51fb-429a-afd7-38f78268b08e,9,2017-02-01 23:43:19.453112,2017-02-01 23:43:19.453112
12032825-2f25-48f4-8224-075bc74c2e7b,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,70f28e35-0920-4b60-91db-5f8181313acc,10,2017-02-01 23:43:19.46575,2017-02-01 23:43:19.46575
e8909b65-ea21-4732-8b62-b35e746ebf74,cd79806e-955c-481c-bcef-cb9d85a5392c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,a2331a03-a344-452c-a0b3-9a4b854fa1b7,1,2017-02-01 23:46:55.307111,2017-02-01 23:46:55.307111
d9b57ad0-10b8-4afe-be4c-31cd9b118356,cd79806e-955c-481c-bcef-cb9d85a5392c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,dc9b94aa-24e5-496e-92bf-da2662c6d21e,2,2017-02-01 23:46:55.314637,2017-02-01 23:46:55.314637
1b8edab7-4e03-4ec9-aa42-610e073fbb8f,cd79806e-955c-481c-bcef-cb9d85a5392c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,5df1cb24-11be-422a-b507-c9a007b1d423,3,2017-02-01 23:46:55.321842,2017-02-01 23:46:55.321842
e68b6679-021c-483a-a1f8-359d1ae5a267,cd79806e-955c-481c-bcef-cb9d85a5392c,bffd08e0-45d0-49d4-94c5-3ffc285e2fea,bb84016d-6e57-4be7-892d-76b0dc3e90a9,4,2017-02-01 23:46:55.32809,2017-02-01 23:46:55.32809
