id,artist,title,inserted_at,updated_at,song_url,cover_public_id,cover_version,bpm,user_id,genre
803df2c5-8632-4b95-9202-424f9948c024,SNOOP DOGG,California Roll (Feat. Stevie Wonder),2015-07-09 00:00:00,2016-03-13 23:49:36.050593,https://youtu.be/R_q6aRwoV3M,covers/slplnz0imcjxio3l8d1n,1457313981,80,0bca2261-7c2c-4ffd-9709-5c9317848d1a,rnb
b5983235-db88-4381-99ae-063193706f77,ICONA POP,Emergency,2015-08-06 13:23:00,2016-04-14 13:27:06.767199,https://youtu.be/9EnSqnccMyY,covers/xgvnklz1f2imncd1ix2b,1460640332,0,0bca2261-7c2c-4ffd-9709-5c9317848d1a,dance
30f68147-397b-4449-a7b5-1a1d54b787e6,CHRISTINA AGUILERA,Change,2016-06-19 07:09:00,2016-07-06 23:32:11.35186,https://www.youtube.com/watch?v=OBSghlH0JgM,covers/gmvymxvo8gzlkfr3qaf4,1467766285,82,0bca2261-7c2c-4ffd-9709-5c9317848d1a,pop
40f8c1ae-7635-4b11-9ff9-21d55cfc29dc,KUNGS,This Girl (Feat. Cookin on 3 Burners),2016-06-19 06:35:00,2016-07-06 23:34:06.990632,https://www.youtube.com/watch?v=2Y6Nne8RvaA,covers/q7qq4zb654ipmjidfk1w,1467766380,122,0bca2261-7c2c-4ffd-9709-5c9317848d1a,pop
7614beaf-ff3e-41a3-9518-c058eb06994c,JANET JACKSON,The Great Forever,2016-06-29 00:36:00,2016-07-04 20:01:05.933666,https://www.youtube.com/watch?v=Rt_e7KL93CU,covers/w5ze74w60cyheog9ck7m,1467662446,105,0bca2261-7c2c-4ffd-9709-5c9317848d1a,rnb
22c4ffca-a912-49df-8082-60c1d15f9024,SELAH SUE,Reason,2016-06-28 23:03:00,2016-07-04 20:04:53.823132,https://www.youtube.com/watch?v=3qKpwsbMMNE,covers/ya6ohvtyxs4e1wstmhiw,1467662593,75,0bca2261-7c2c-4ffd-9709-5c9317848d1a,soul
79bb2c3c-cff9-425a-b4a0-9e6b525d693a,YEARS & YEARS,Breathe,2016-07-14 23:02:00,2016-07-15 16:54:41.733251,https://www.youtube.com/watch?v=cN5RsE_Zm7E,covers/uur5r389gq4ycqem6syq,1468537326,92,0bca2261-7c2c-4ffd-9709-5c9317848d1a,pop
f1d8e829-cc62-4009-9a4b-8259b7abe04f,LEIFY GREEN,The Same Way,2016-07-27 15:54:00,2016-07-27 16:31:46.182353,https://www.youtube.com/watch?v=neBM3em_UzM,covers/w3yncapdsnkmfb7lb5lj,1469634885,80,0bca2261-7c2c-4ffd-9709-5c9317848d1a,acoustic
fc44b828-2497-41ab-b55b-c97f2edcba2a,CYRIL NEVILLE & MIKE ZITO,Girl is on My Mind,2015-11-16 00:00:00,2016-09-16 14:57:11.684805,https://youtu.be/MvEGOe6TibI,wsdjs/missing_cover,1,0,0bca2261-7c2c-4ffd-9709-5c9317848d1a,blues
bac2c1de-4dab-4afa-8bfb-349aa7040158,AUSTIN MAHONE,Dirty Work,2015-07-04 00:00:00,2016-03-13 23:49:35.651662,https://youtu.be/CX-un4obyU0,covers/b8b015adc0bf42f6b8aa83222e28381b,1449846062,105,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
c08f8d9d-4cff-4a35-9bfd-a4d11c5f0a5c,TRAVIS MILLS,Young & Stupid (Feat. T.I.),2015-07-26 00:00:00,2016-03-13 23:49:36.067695,https://youtu.be/1IMoVyaoogk,covers/wine5sxtjiuvig0xdmie,1457378629,107,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
5b638793-8e24-40de-adc4-021288016e87,ALEX G,Bad Blood (Feat. Laura Evelyn Cai),2015-07-07 00:00:00,2016-03-13 23:49:35.620402,https://youtu.be/92xE-X4qw3q,covers/oxsewdj2dtjapcmi4by6,1457184133,84,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,acoustic
c84adca8-7b31-4081-83f8-a7259cee7c47,INNA,Bop Bop (Feat. Eric Turner),2015-07-14 00:00:00,2016-03-13 23:49:35.852474,https://youtu.be/-eu-cQbPkNI,covers/ltxsfbft420f9udxl6ql,1457313820,112,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,dance
e8d70416-9031-41d0-a731-bbf8fe322f6f,KIIARA,Gold,2015-07-21 00:00:00,2016-03-13 23:49:35.906592,https://youtu.be/F1pB4rCz3dQ,covers/pktfhtpk0gvq44vxvljx,1457382625,85,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
06e21535-6983-4ac8-9240-dc06e1fc21fa,CHARLIE PUTH,One Call Away,2015-08-21 00:00:00,2016-03-13 23:49:36.157877,https://youtu.be/GRy3e_VRYHo,covers/258106ec1e3745a3b4dc35a11a3ef991,1449162892,91,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
7c18a0ba-8803-486b-8259-f00a2e523125,HAILEE STEINFELD,Love Myself,2015-08-06 00:00:00,2016-03-13 23:49:36.232236,https://youtu.be/bMpFmHSgC4Q,covers/ersyfvclxvarmdmqnhs4,1457050238,123,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,dance
c641a103-0000-4693-8e9d-90e7dc4ea6cf,THOMAS RHETT,I Feel Good (Feat. LunchMoney Lew),2015-09-11 00:00:00,2016-03-13 23:49:36.463855,https://youtu.be/IX5P2v9jcQ0,covers/fpjwxsaxrg94nxwtuzgy,1456851507,107,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
478770f4-798b-492d-ac55-6003251dece7,RUDIMENTAL,Lay It All On Me (Feat. Ed Sheeran),2015-09-25 00:00:00,2016-03-13 23:49:36.489177,https://youtu.be/vl2a5tqFWUo,covers/bwlfyihvauynyicdkjvb,1456851558,122,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,dance
a7516ace-abe8-4955-8a23-841b164a2c72,DUFFY,Whole Lot Of Love,2015-09-12 00:00:00,2016-03-13 23:49:36.510063,https://youtu.be/Qkq6ZfU9AzQ,covers/ngwceonhkuk3bmkmernq,1456851659,97,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,soul
3b24081b-f4a7-41d9-b38f-0e11c9c96458,ELLA EYRE,Best of My Love,2015-09-24 00:00:00,2016-03-13 23:49:36.583907,https://youtu.be/jBDEmWpiwyc,covers/gub4phk02ru6fhtedksf,1456851776,115,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
9ae8b7a9-aef8-4ca1-ae52-16a39858774a,R KELLY,Backyard Party,2015-08-10 00:00:00,2016-03-13 23:49:36.327615,https://youtu.be/vYS6z3ndj08,covers/c3e558aad8864937afa1900b973fba5e,1449162896,100,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
d3b7e44f-0df3-40e2-aeb1-3fe62b57e595,TIMEFLIES,Undress Rehearsal,2015-08-09 00:00:00,2016-03-13 23:49:36.365839,https://youtu.be/jPQ2TD7DK1w,covers/908a084e9c1841d885f0bec16b705818,1449162897,124,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,dance
