id,top_id,song_id,likes,inserted_at,updated_at,votes,bonus,points,position
04f1a0f6-71e0-4c5f-9cff-537e668e3343,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,e84bbb1a-5336-4540-b1ed-0ab8fe66541f,13,2015-12-01 00:00:00,2015-12-01 00:00:00,128,14,155,4
f012bef1-4ab3-4eda-a0eb-b6c59ec9fe95,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,bbb291ad-8668-4296-870b-4f03f8d08474,0,2015-12-01 00:00:00,2015-12-01 00:00:00,108,20,128,5
38fbf8a5-cd94-4c71-91ee-f721172ec0c3,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,65df05ac-a846-44eb-b506-ac51814dd76e,10,2015-12-01 00:00:00,2015-12-01 00:00:00,116,0,126,6
f5ddc915-27c9-412a-ab00-df07750f9469,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,6a2d23d8-4fdb-41da-ae2b-558504409113,9,2015-12-01 00:00:00,2015-12-01 00:00:00,100,12,121,7
9ab6b83a-8fec-4e2c-98b0-7c3c7dc16ba9,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,3ff3a867-23ed-4e79-a76d-8e6953f3627d,11,2015-12-01 00:00:00,2015-12-01 00:00:00,77,16,104,8
a87b668a-6ed9-4a88-964c-2b8ee4de1331,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,09dc549e-3959-4de8-9925-7f49b033b8f6,4,2015-12-01 00:00:00,2015-12-01 00:00:00,90,0,94,9
d82a8c83-a16c-4f42-8d7f-5c1832384320,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,72140b44-1a83-4548-b27a-8d5af7f80f4b,2,2015-12-01 00:00:00,2015-12-01 00:00:00,76,8,86,10
534c7ca8-f151-4044-97e4-da4ae15df1e9,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,8d4e9060-fbb5-46e0-b9ff-42e8ebd1e0ac,18,2015-12-01 00:00:00,2015-12-01 00:00:00,57,4,79,11
24ef5581-1f94-4b58-a237-ab06811199cf,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,809ec11a-6927-422f-af1a-b42dd043dca2,6,2015-12-01 00:00:00,2015-12-01 00:00:00,52,10,68,12
c6fcaf6e-cfbf-4f8e-89fb-0675b5fe1713,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,31477a0f-6a2c-4865-ad57-6ae94794763f,4,2015-12-01 00:00:00,2015-12-01 00:00:00,60,0,64,13
bd1d80c4-6f6a-4354-9e7c-b6eb1c71ca30,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,521db144-e47e-450b-87d0-8301c75783f0,2,2015-12-01 00:00:00,2015-12-01 00:00:00,50,4,56,14
ea5515d8-eaf5-4d47-a078-690711883489,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,ab13bbc0-7893-4c41-a0b6-b45cd036f9fc,10,2015-12-01 00:00:00,2015-12-01 00:00:00,32,6,48,15
fc6fbb7b-1543-41f6-9744-b9c38b20c9c5,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,509659cd-f37b-479b-9950-0688e3e9fdfd,2,2015-12-01 00:00:00,2015-12-01 00:00:00,43,0,45,16
3cbfd5c4-28f6-41eb-83a0-0ed68080dab0,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,4e322521-2bc5-4ea1-b3e3-ba5632c2edc6,0,2015-12-01 00:00:00,2015-12-01 00:00:00,23,16,39,17
6db300a5-32d6-4014-a486-87542cff704f,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,1b40c4ed-caae-4902-b2a0-ef294d2785ee,4,2015-12-01 00:00:00,2015-12-01 00:00:00,23,0,27,18
ec374cf1-605b-4f24-a119-7cf558d53a9c,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,1f71ea7a-324a-47d6-9885-b79d4be6b2e7,2,2015-12-01 00:00:00,2015-12-01 00:00:00,23,0,25,19
7fc57276-714d-4d34-98d3-f0ed5935777e,b7923885-e6f5-4aa3-ad67-0b66c78e42e2,a7f0fed6-b381-4d4f-bbc8-fba65f84ce50,0,2015-12-01 00:00:00,2015-12-01 00:00:00,24,0,24,20
